,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GOOGL,Alphabet Inc.,"1,743.45B",2.37%,42528149,307.39B
1,META,"Meta Platforms, Inc.","1,263.41B",-0.75%,12579065,134.90B
2,NFLX,"Netflix, Inc.",263.75B,0.58%,3108188,33.72B
3,DIS,The Walt Disney Company,206.36B,-0.39%,8232961,88.94B
4,TMUS,"T-Mobile US, Inc.",194.75B,-0.75%,3911970,78.56B
5,CMCSA,Comcast Corporation,169.67B,-1.06%,24970551,121.57B
6,VZ,Verizon Communications Inc.,169.26B,-1.22%,13142947,133.97B
7,T,AT&T Inc.,122.96B,-1.05%,37180392,122.43B
8,RELX,RELX PLC,81.12B,-0.89%,884617,11.60B
9,NTES,"NetEase, Inc.",69.15B,-2.18%,834245,14.59B
10,AMX,"América Móvil, SAB de CV",60.92B,-0.36%,1010838,36.84B
11,DASH,"DoorDash, Inc.",53.84B,0.10%,3092798,8.64B
12,SPOT,Spotify Technology S.A.,51.02B,-0.05%,846530,14.72B
13,CHTR,"Charter Communications, Inc.",43.34B,-0.47%,1476023,54.61B
14,BIDU,"Baidu, Inc.",37.72B,-3.01%,2678315,18.98B
15,EA,Electronic Arts Inc.,36.62B,-1.41%,2321636,7.66B
16,BCE,BCE Inc.,32.63B,-2.83%,6069431,18.55B
17,ORAN,Orange S.A.,30.32B,-0.09%,287775,46.25B
18,CHT,"Chunghwa Telecom Co., Ltd.",29.96B,0.10%,53596,7.26B
19,RBLX,Roblox Corporation,25.49B,0.64%,5475475,2.80B
20,TU,TELUS Corporation,24.99B,-2.54%,3437622,15.12B
21,TLK,Telkom Indonesia (Persero) Tbk PT,24.96B,0.56%,141339,9.48B
22,TTWO,"Take-Two Interactive Software, Inc.",24.27B,-0.77%,1482757,5.40B
23,VOD,Vodafone Group PLC,24.07B,-0.82%,11380470,47.57B
24,LYV,"Live Nation Entertainment, Inc.",24.07B,-0.83%,2382484,22.75B
25,PINS,"Pinterest, Inc.",23.49B,-1.53%,7403148,3.06B
26,RCI,Rogers Communications Inc.,22.61B,-1.87%,591011,14.52B
27,WBD,"Warner Bros. Discovery, Inc.",21.59B,-3.62%,25707955,41.32B
28,OMC,Omnicom Group Inc.,18.94B,-3.18%,3000890,14.69B
29,SNAP,Snap Inc.,18.84B,-4.29%,20701709,4.61B
30,TME,Tencent Music Entertainment Group,18.64B,-1.14%,8432685,3.89B
31,VIV,Telefônica Brasil S.A.,17.55B,1.44%,962926,10.70B
32,WMG,Warner Music Group Corp.,17.19B,-0.75%,1167085,6.30B
33,FWONA,Formula One Group - Series A,16.20B,-1.18%,252099,12.53B
34,FWONK,Formula One Group - Series C,16.17B,-0.10%,789226,-
35,SIRI,Sirius XM Holdings Inc.,15.68B,-1.45%,19733762,8.95B
36,NWSA,News Corporation,15.17B,-0.99%,2444547,9.97B
37,FOXA,Fox Corporation,13.51B,-1.54%,3274230,14.56B
38,Z,"Zillow Group, Inc.",12.76B,-1.48%,2635951,1.95B
39,IPG,"The Interpublic Group of Companies, Inc.",12.37B,-1.12%,13216664,10.89B
40,TWLO,Twilio Inc.,11.15B,-2.26%,2669876,4.15B
41,LSXMA,Liberty SiriusXM Group - Series A,9.78B,-1.00%,1441152,-
42,LSXMK,Liberty SiriusXM Group - Series C,9.76B,-1.10%,2051426,-
43,LSXMB,Liberty SiriusXM Group - Series B,9.72B,0.36%,3,-
44,WPP,WPP plc,9.67B,-2.06%,222410,18.79B
45,ROKU,"Roku, Inc.",9.28B,0.29%,4890239,3.48B
46,TIMB,TIM S.A.,9.19B,1.34%,574515,4.07B
47,PSO,Pearson plc,8.96B,-,459180,4.65B
48,MTCH,"Match Group, Inc.",8.93B,0.09%,12112607,3.36B
49,SKM,"SK Telecom Co.,Ltd",8.65B,0.58%,290558,9.72B
50,LBRDK,Liberty Broadband Corporation,8.26B,-1.54%,1351303,981.00M
51,PARA,Paramount Global,8.06B,-3.18%,14305485,29.65B
52,EDR,"Endeavor Group Holdings, Inc.",7.56B,2.07%,2642821,5.96B
53,KT,KT Corporation,7.25B,0.56%,899979,20.80B
54,NYT,The New York Times Company,7.17B,-0.82%,1068718,2.43B
55,TKO,"TKO Group Holdings, Inc.",7.10B,-1.32%,1196902,1.67B
56,LBTYK,Liberty Global plc,6.49B,-2.40%,1625809,7.49B
57,FYBR,"Frontier Communications Parent, Inc.",5.78B,-3.21%,1712962,5.74B
58,NXST,"Nexstar Media Group, Inc.",5.66B,-1.67%,332228,4.93B
59,PHI,PLDT Inc.,5.47B,-0.74%,342788,3.68B
60,BILI,Bilibili Inc.,5.37B,-6.79%,13719795,3.18B
61,IAC,IAC Inc.,4.39B,-1.12%,545223,4.37B
62,MSGS,Madison Square Garden Sports Corp.,4.37B,-0.93%,147291,879.61M
63,TKC,Turkcell Iletisim Hizmetleri A.S.,4.16B,-0.21%,256310,3.29B
64,IQ,"iQIYI, Inc.",3.98B,-3.85%,6795953,4.50B
65,IRDM,Iridium Communications Inc.,3.53B,-4.71%,976347,790.72M
66,LLYVA,Liberty Live Group - Series A,3.30B,-1.94%,113113,-
67,ATHM,Autohome Inc.,3.28B,-1.40%,421107,985.69M
68,CCOI,"Cogent Communications Holdings, Inc.",3.19B,-3.20%,630959,940.92M
69,TIGO,Millicom International Cellular S.A.,3.18B,1.08%,68314,5.66B
70,ZD,"Ziff Davis, Inc.",3.07B,-3.74%,250414,1.36B
71,USM,United States Cellular Corporation,3.03B,-0.14%,123444,3.91B
72,TEO,Telecom Argentina S.A.,3.02B,1.00%,148942,4.13B
73,LLYVK,Liberty Live Group - Series C,2.75B,-1.88%,159684,-
74,IDCC,"InterDigital, Inc.",2.68B,-0.93%,634400,549.59M
