,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","1,833.95B",1.24%,43502623,574.79B
1,TSLA,"Tesla, Inc.",539.76B,-4.12%,125377716,96.77B
2,HD,"The Home Depot, Inc.",373.28B,-0.98%,2318838,152.67B
3,TM,Toyota Motor Corporation,312.00B,-0.80%,222819,308.27B
4,MCD,McDonald's Corporation,203.42B,-0.40%,3953884,25.49B
5,BABA,Alibaba Group Holding Limited,184.26B,-3.91%,17923823,130.82B
6,PDD,PDD Holdings Inc.,162.57B,0.69%,7721870,27.31B
7,NKE,"NIKE, Inc.",151.91B,-1.09%,5763711,51.54B
8,LOW,"Lowe's Companies, Inc.",142.01B,-1.12%,1800663,86.38B
9,BKNG,Booking Holdings Inc.,119.60B,0.33%,318832,21.37B
10,TJX,"The TJX Companies, Inc.",112.41B,0.58%,5857929,54.22B
11,ABNB,"Airbnb, Inc.",106.25B,1.02%,4878540,9.92B
12,SBUX,Starbucks Corporation,103.78B,0.05%,8350132,36.69B
13,STLA,Stellantis N.V.,82.79B,-0.94%,5041211,210.60B
14,MELI,"MercadoLibre, Inc.",78.98B,0.69%,331266,14.47B
15,RACE,Ferrari N.V.,75.95B,-0.49%,190228,6.63B
16,CMG,"Chipotle Mexican Grill, Inc.",74.66B,0.95%,209899,9.87B
17,MAR,"Marriott International, Inc.",72.78B,-1.36%,1710987,23.71B
18,ORLY,"O'Reilly Automotive, Inc.",65.02B,1.41%,370638,15.81B
19,LULU,Lululemon Athletica Inc.,58.75B,0.96%,1316168,9.19B
20,HMC,"Honda Motor Co., Ltd.",57.08B,0.23%,618788,136.70B
21,CPRT,"Copart, Inc.",54.08B,0.30%,8975858,4.06B
22,AZO,"AutoZone, Inc.",53.48B,0.96%,108949,17.83B
23,HLT,Hilton Worldwide Holdings Inc.,52.58B,-0.77%,1262577,10.24B
24,DHI,"D.R. Horton, Inc.",51.50B,-3.14%,5424611,35.93B
25,ROST,"Ross Stores, Inc.",49.16B,-0.48%,2560872,20.38B
26,F,Ford Motor Company,49.15B,-2.34%,40083898,176.19B
27,GM,General Motors Company,46.48B,-2.19%,17840090,171.84B
28,LEN,Lennar Corporation,45.66B,-7.64%,4718554,35.06B
29,JD,"JD.com, Inc.",42.40B,-3.43%,16371648,152.98B
30,LVS,Las Vegas Sands Corp.,40.21B,-1.86%,4235881,10.37B
31,FLUT,Flutter Entertainment plc,39.30B,-1.21%,100535,9.28B
32,YUM,"Yum! Brands, Inc.",38.93B,-0.87%,3078806,7.08B
33,LI,Li Auto Inc.,37.81B,-4.22%,5261992,17.47B
34,QSR,Restaurant Brands International Inc.,36.37B,-1.46%,1829748,7.02B
35,SE,Sea Limited,34.45B,0.30%,7113651,13.06B
36,CPNG,"Coupang, Inc.",33.10B,-5.66%,23100398,24.38B
37,RCL,Royal Caribbean Cruises Ltd.,33.03B,-2.57%,2404742,13.90B
38,TCOM,Trip.com Group Limited,28.25B,-1.79%,1929871,6.28B
39,ULTA,"Ulta Beauty, Inc.",27.54B,-0.31%,1208097,10.88B
40,TSCO,Tractor Supply Company,27.40B,0.08%,1789100,14.56B
41,EBAY,eBay Inc.,27.15B,-0.31%,7725569,10.11B
42,NVR,"NVR, Inc.",24.67B,-2.41%,24952,9.31B
43,DECK,Deckers Outdoor Corporation,23.81B,0.58%,481810,4.12B
44,PHM,"PulteGroup, Inc.",23.27B,-3.82%,2313976,16.06B
45,MBLY,Mobileye Global Inc.,23.00B,-1.01%,2176087,2.08B
46,ROL,"Rollins, Inc.",22.39B,-0.71%,1820811,3.07B
