,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,493.47B,-,14324875,648.13B
1,PG,The Procter & Gamble Company,380.01B,-0.49%,3907562,83.93B
2,COST,Costco Wholesale Corporation,325.65B,-0.31%,1814968,248.83B
3,KO,The Coca-Cola Company,260.90B,-0.22%,10106356,45.75B
4,PEP,"PepsiCo, Inc.",227.19B,-0.31%,5144640,91.47B
5,FMX,"Fomento Económico Mexicano, SAB de CV",223.50B,0.60%,372132,34.56B
6,PM,Philip Morris International Inc.,147.98B,-1.44%,6603849,35.17B
7,UL,Unilever PLC,124.78B,-0.96%,2769807,66.90B
8,BUD,Anheuser-Busch InBev SA/NV,120.98B,-5.48%,11818242,59.38B
9,MDLZ,"Mondelez International, Inc.",96.26B,-0.74%,7898267,36.02B
10,DEO,Diageo plc,82.90B,-1.46%,1309180,21.66B
11,TGT,Target Corporation,76.95B,-1.42%,2593913,107.41B
12,MO,"Altria Group, Inc.",76.45B,2.15%,22434361,24.48B
13,CL,Colgate-Palmolive Company,73.43B,-0.95%,4535405,19.46B
14,BTI,British American Tobacco p.l.c.,69.02B,-1.26%,4700390,34.54B
15,MNST,Monster Beverage Corporation,63.15B,-0.90%,3927082,7.14B
16,EL,The Estée Lauder Companies Inc.,56.62B,-3.23%,2386739,15.16B
17,STZ,"Constellation Brands, Inc.",48.21B,-1.09%,941881,9.82B
18,KMB,Kimberly-Clark Corporation,42.05B,-2.42%,2560193,20.43B
19,KHC,The Kraft Heinz Company,41.54B,-0.61%,9204497,26.64B
20,ABEV,Ambev S.A.,40.52B,-0.40%,10802881,16.37B
21,KR,The Kroger Co.,40.38B,-1.02%,5442919,150.04B
22,SYY,Sysco Corporation,40.09B,-0.61%,2655820,77.51B
23,HSY,The Hershey Company,39.95B,-0.42%,2299614,11.16B
24,KDP,Keurig Dr Pepper Inc.,39.09B,0.35%,16253961,14.81B
25,KVUE,Kenvue Inc.,38.43B,-1.67%,10314570,15.44B
26,GIS,"General Mills, Inc.",37.23B,-0.73%,2793454,20.20B
27,DG,Dollar General Corporation,34.72B,-5.13%,9404711,38.69B
28,CCEP,Coca-Cola Europacific Partners PLC,33.14B,-0.14%,1668877,20.34B
29,ADM,Archer-Daniels-Midland Company,29.71B,-0.10%,8785112,93.94B
30,DLTR,"Dollar Tree, Inc.",27.28B,-2.48%,5899686,29.68B
