,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,434.60B,1.77%,16086617,344.58B
1,CVX,Chevron Corporation,285.82B,1.18%,9031306,200.95B
2,SHEL,Shell plc,210.74B,0.11%,4492271,386.20B
3,TTE,TotalEnergies SE,158.63B,0.41%,1116042,218.95B
4,COP,Conoco Phillips,138.29B,1.90%,7706022,58.57B
5,BP,BP p.l.c.,105.36B,0.46%,6301634,213.03B
6,PBR.A,Petróleo Brasileiro S.A. - Petrobras,96.24B,-0.48%,6231290,124.47B
7,PBR,Petróleo Brasileiro S.A. - Petrobras,95.60B,-0.61%,25696448,124.47B
8,CNQ,Canadian Natural Resources Limited,79.16B,0.67%,5329907,27.04B
9,EQNR,Equinor ASA,76.75B,0.38%,3184525,150.81B
10,SLB,Schlumberger Limited,76.15B,1.26%,9268089,33.14B
11,ENB,Enbridge Inc.,75.82B,-1.30%,3951281,32.82B
12,EOG,"EOG Resources, Inc.",71.80B,1.00%,2967003,24.19B
13,MPC,Marathon Petroleum Corporation,68.26B,0.05%,3004354,150.31B
14,PSX,Phillips 66,66.05B,-0.06%,3636715,149.89B
15,EPD,Enterprise Products Partners L.P.,62.10B,-0.45%,3791557,49.72B
16,PXD,Pioneer Natural Resources Company,57.41B,1.93%,1855865,19.36B
17,OXY,Occidental Petroleum Corporation,54.58B,0.84%,7413642,28.92B
18,VLO,Valero Energy Corporation,52.74B,0.48%,3557909,144.77B
19,ET,Energy Transfer LP,50.85B,-0.40%,8112079,78.59B
20,E,Eni S.p.A.,50.64B,-2.69%,350872,142.22B
21,HES,Hess Corporation,46.28B,1.13%,1740683,10.65B
22,SU,Suncor Energy Inc.,45.79B,1.41%,3518829,38.15B
23,OKE,"ONEOK, Inc.",44.97B,-0.01%,2621640,17.68B
24,WMB,"The Williams Companies, Inc.",44.95B,-0.16%,9115879,10.91B
25,TRP,TC Energy Corporation,42.37B,-1.15%,3668164,11.98B
26,MPLX,MPLX LP,40.78B,-1.25%,2002538,11.28B
27,KMI,"Kinder Morgan, Inc.",39.70B,-1.84%,20220647,15.33B
28,LNG,"Cheniere Energy, Inc.",36.81B,0.74%,1841605,20.39B
29,WDS,Woodside Energy Group Ltd,36.61B,-0.47%,576480,13.99B
30,IMO,Imperial Oil Limited,35.98B,0.89%,188443,38.32B
31,CVE,Cenovus Energy Inc.,34.41B,1.82%,10566207,39.25B
32,FANG,"Diamondback Energy, Inc.",33.47B,1.03%,1463551,8.41B
33,HAL,Halliburton Company,32.52B,2.96%,9586706,23.02B
34,BKR,Baker Hughes Company,32.00B,0.60%,6795354,25.51B
35,DVN,Devon Energy Corporation,30.11B,1.89%,8896738,15.26B
