,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,877.57B,-0.34%,3719817,439.34B
1,V,Visa Inc.,585.70B,0.45%,4153520,33.35B
2,JPM,JPMorgan Chase & Co.,551.25B,-1.78%,6743999,158.10B
3,MA,Mastercard Incorporated,443.69B,0.81%,2757465,25.10B
4,BAC,Bank of America Corporation,284.69B,-1.08%,40026806,98.58B
5,WFC,Wells Fargo & Company,206.85B,-0.78%,24821697,82.60B
6,AXP,American Express Company,161.29B,-1.05%,2414605,55.59B
7,BX,Blackstone Inc.,150.66B,-1.03%,4329492,8.02B
8,MS,Morgan Stanley,145.70B,-0.28%,9204947,54.14B
9,RY,Royal Bank of Canada,142.92B,-1.31%,1030453,40.69B
10,HSBC,HSBC Holdings plc,142.82B,-1.21%,1389570,66.06B
11,HDB,HDFC Bank Limited,139.84B,-2.77%,2972091,13.76B
12,SPGI,S&P Global Inc.,132.80B,-1.07%,927341,12.50B
13,GS,"The Goldman Sachs Group, Inc.",126.52B,-0.94%,2148244,46.25B
14,BLK,"BlackRock, Inc.",123.02B,-2.08%,851635,17.86B
15,MUFG,"Mitsubishi UFJ Financial Group, Inc.",122.70B,-1.44%,2521416,30.79B
16,SCHW,The Charles Schwab Corporation,122.47B,-0.79%,11672435,18.84B
17,PGR,The Progressive Corporation,118.23B,1.07%,3537705,62.11B
18,C,Citigroup Inc.,110.40B,-1.16%,18828882,78.46B
19,TD,The Toronto-Dominion Bank,107.76B,-1.25%,1546988,36.86B
20,CB,Chubb Limited,105.58B,-0.66%,1504436,49.74B
21,MMC,"Marsh & McLennan Companies, Inc.",102.22B,-0.08%,1166739,22.74B
22,UBS,UBS Group AG,100.47B,-1.32%,3036767,37.16B
23,IBN,ICICI Bank Limited,91.18B,-0.84%,4013626,22.65B
24,KKR,KKR & Co. Inc.,86.09B,-1.14%,1946327,14.50B
25,CME,CME Group Inc.,78.97B,0.02%,1538570,5.58B
26,ICE,"Intercontinental Exchange, Inc.",78.72B,-1.15%,2359268,9.90B
27,SMFG,"Sumitomo Mitsui Financial Group, Inc.",76.50B,-1.19%,1129567,28.63B
28,MCO,Moody's Corporation,71.02B,-1.44%,456631,5.92B
29,BMO,Bank of Montreal,69.30B,-1.84%,327848,24.15B
30,SAN,"Banco Santander, S.A.",69.28B,-1.35%,3170243,62.65B
31,ITUB,Itaú Unibanco Holding S.A.,68.29B,-1.14%,16102512,21.85B
32,USB,U.S. Bancorp,67.74B,-2.58%,7456823,25.74B
33,PYPL,"PayPal Holdings, Inc.",67.70B,0.88%,19143671,29.77B
34,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",64.35B,-1.78%,1691596,35.64B
35,BN,Brookfield Corporation,64.01B,-2.19%,3355121,95.62B
36,AON,Aon plc,63.51B,0.06%,691223,13.38B
37,APO,"Apollo Global Management, Inc.",62.09B,0.03%,1703527,32.64B
38,PNC,"The PNC Financial Services Group, Inc.",60.75B,-2.77%,2083997,21.49B
39,BNS,The Bank of Nova Scotia,60.50B,-1.55%,1862018,24.42B
40,AJG,Arthur J. Gallagher & Co.,55.26B,-0.18%,660108,10.07B
41,NU,Nu Holdings Ltd.,55.24B,0.26%,31360890,8.03B
42,COF,Capital One Financial Corporation,53.04B,-0.84%,2233475,26.36B
43,MET,"MetLife, Inc.",52.54B,-1.06%,4012592,66.91B
44,AIG,"American International Group, Inc.",51.41B,0.48%,3806276,46.80B
45,TRV,"The Travelers Companies, Inc.",51.21B,-0.93%,1134999,41.36B
46,ING,ING Groep N.V.,50.41B,-0.91%,3461125,24.52B
47,MFG,"Mizuho Financial Group, Inc.",49.62B,-1.01%,1099425,15.13B
48,TFC,Truist Financial Corporation,48.65B,-3.92%,10924786,21.28B
49,AFL,Aflac Incorporated,48.22B,-0.27%,2487965,18.70B
50,CM,Canadian Imperial Bank of Commerce,46.76B,-1.36%,1185264,17.63B
51,IBKR,"Interactive Brokers Group, Inc.",45.21B,-0.58%,775710,4.34B
52,MSCI,MSCI Inc.,44.09B,-0.80%,281610,2.53B
53,MFC,Manulife Financial Corporation,43.87B,-0.37%,3293710,25.32B
54,BSBR,Banco Santander (Brasil) S.A.,42.66B,-0.52%,284271,65.86B
55,ALL,The Allstate Corporation,41.93B,-0.44%,1596675,57.09B
56,AMP,"Ameriprise Financial, Inc.",41.80B,-0.67%,508001,15.54B
57,BK,The Bank of New York Mellon Corporation,41.62B,-1.50%,5154799,17.50B
58,ARES,Ares Management Corporation,41.36B,-0.75%,879586,3.63B
59,LYG,Lloyds Banking Group plc,40.39B,-1.20%,8572738,61.65B
60,PRU,"Prudential Financial, Inc.",40.14B,-0.97%,1872699,53.98B
