,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,720.07B,0.38%,2643130,34.12B
1,NVO,Novo Nordisk A/S,599.88B,0.82%,3391657,34.41B
2,UNH,UnitedHealth Group Incorporated,449.90B,0.20%,3374906,371.62B
3,JNJ,Johnson & Johnson,388.05B,-1.17%,6940134,85.16B
4,ABBV,AbbVie Inc.,316.05B,0.75%,6998621,54.32B
5,MRK,"Merck & Co., Inc.",309.39B,-0.72%,7584861,60.12B
6,TMO,Thermo Fisher Scientific Inc.,226.24B,-1.35%,1757523,42.86B
7,ABT,Abbott Laboratories,208.50B,-1.09%,4937299,40.11B
8,AZN,AstraZeneca PLC,207.63B,-0.80%,4569659,45.81B
9,NVS,Novartis AG,201.47B,-0.88%,834433,46.66B
10,DHR,Danaher Corporation,188.88B,-0.83%,2634216,23.89B
11,PFE,Pfizer Inc.,159.32B,-0.32%,30119543,58.50B
12,AMGN,Amgen Inc.,147.91B,-1.61%,2365436,28.19B
13,ISRG,"Intuitive Surgical, Inc.",135.75B,0.34%,1399819,7.12B
14,SYK,Stryker Corporation,135.71B,-0.35%,691463,20.50B
15,SNY,Sanofi,119.74B,-0.31%,1050382,51.60B
16,ELV,Elevance Health Inc.,118.14B,0.21%,973724,171.34B
17,MDT,Medtronic plc,112.97B,-0.81%,7217348,32.32B
18,VRTX,Vertex Pharmaceuticals Incorporated,106.73B,-1.07%,1007523,9.87B
19,BMY,Bristol-Myers Squibb Company,106.14B,-0.30%,14351801,45.01B
20,REGN,"Regeneron Pharmaceuticals, Inc.",105.18B,-0.67%,501731,13.12B
21,CI,Cigna Corporation,101.95B,0.23%,1403837,195.27B
22,BSX,Boston Scientific Corporation,96.89B,1.24%,7300363,14.24B
23,GILD,"Gilead Sciences, Inc.",94.60B,-1.28%,7360492,27.12B
24,CVS,CVS Health Corporation,94.48B,1.78%,7848309,357.78B
25,GSK,GSK plc,87.38B,-0.65%,1809666,38.39B
26,HCA,"HCA Healthcare, Inc.",85.14B,1.10%,1056895,64.97B
27,ZTS,Zoetis Inc.,80.69B,-1.33%,6425834,8.54B
28,BDX,"Becton, Dickinson and Company",68.99B,-0.68%,1121604,19.49B
29,MCK,McKesson Corporation,68.36B,1.76%,553219,301.51B
30,EW,Edwards Lifesciences Corporation,56.14B,0.46%,4323578,6.00B
31,DXCM,"DexCom, Inc.",49.92B,-1.66%,2588333,3.62B
32,IQV,IQVIA Holdings Inc.,46.53B,-0.54%,989184,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,45.42B,-0.55%,1199248,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",44.88B,-0.85%,336772,3.66B
35,ALC,Alcon Inc.,42.64B,-1.61%,1801830,9.46B
36,A,"Agilent Technologies, Inc.",42.55B,-1.77%,2096979,6.74B
37,HUM,Humana Inc.,41.61B,1.07%,947475,106.37B
38,CNC,Centene Corporation,41.03B,-0.87%,3340621,154.00B
39,GEHC,GE HealthCare Technologies Inc.,40.23B,-0.17%,3386717,19.55B
40,HLN,Haleon plc,39.66B,-2.99%,8520779,14.31B
41,MRNA,"Moderna, Inc.",39.53B,-2.86%,4604273,6.85B
42,COR,Cencora,38.52B,1.24%,1280187,271.58B
43,VEEV,Veeva Systems Inc.,37.80B,-0.99%,783895,2.36B
44,BIIB,Biogen Inc.,32.93B,-3.06%,1565998,9.84B
45,RMD,ResMed Inc.,28.31B,-0.37%,1533593,4.50B
46,WST,"West Pharmaceutical Services, Inc.",28.28B,3.54%,802883,2.95B
47,MTD,Mettler-Toledo International Inc.,27.90B,-0.58%,115359,3.79B
48,ICLR,ICON PLC,27.51B,0.05%,298158,8.12B
49,CAH,"Cardinal Health, Inc.",27.02B,-1.04%,3337662,216.15B
50,ZBH,"Zimmer Biomet Holdings, Inc.",25.72B,-0.68%,1202990,7.39B
51,ALGN,"Align Technology, Inc.",24.09B,-1.18%,618767,3.86B
52,MOH,"Molina Healthcare, Inc.",23.65B,0.44%,735574,34.07B
53,STE,STERIS plc,22.88B,-0.95%,341641,5.41B
54,ARGX,argenx SE,22.73B,-0.82%,225834,39.48M
55,BNTX,BioNTech SE,22.33B,-1.11%,615467,7.04B
56,BAX,Baxter International Inc.,21.67B,-1.55%,3694331,14.81B
57,ILMN,"Illumina, Inc.",21.10B,-3.52%,1416671,4.50B
58,GMAB,Genmab A/S,20.54B,-3.32%,628046,2.44B
59,COO,"The Cooper Companies, Inc.",20.34B,-0.84%,1185226,3.67B
60,WAT,Waters Corporation,20.34B,-2.32%,473994,2.96B
61,PHG,Koninklijke Philips N.V.,19.44B,-0.51%,1011359,20.19B
62,ALNY,"Alnylam Pharmaceuticals, Inc.",18.69B,0.07%,505841,1.83B
63,HOLX,"Hologic, Inc.",17.92B,-1.30%,1635032,3.97B
64,RPRX,Royalty Pharma plc,17.85B,-0.10%,2168117,2.35B
65,WBA,"Walgreens Boots Alliance, Inc.",17.77B,-2.04%,10744222,142.41B
66,BGNE,"BeiGene, Ltd.",17.59B,-4.29%,392258,2.46B
67,LH,Laboratory Corporation of America Holdings,17.56B,-3.12%,1337895,12.16B
68,BMRN,BioMarin Pharmaceutical Inc.,15.99B,-0.45%,1219225,2.42B
