,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,185.19B,-2.00%,7532607,67.95B
1,CAT,Caterpillar Inc.,170.75B,0.12%,2108045,67.06B
2,UNP,Union Pacific Corporation,150.04B,-1.28%,2404126,24.12B
3,UPS,"United Parcel Service, Inc.",131.96B,-0.56%,2786671,90.96B
4,HON,Honeywell International Inc.,130.26B,-1.69%,3837490,36.66B
5,RTX,RTX Corp,122.83B,1.33%,7817381,68.92B
6,ETN,Eaton Corporation plc,119.95B,0.02%,2177395,23.20B
7,BA,The Boeing Company,110.53B,-0.66%,9967846,77.79B
8,DE,Deere & Company,105.46B,0.36%,1434372,60.79B
9,LMT,Lockheed Martin Corporation,105.30B,0.27%,926537,67.57B
10,ADP,"Automatic Data Processing, Inc.",99.92B,-0.39%,1852101,18.59B
11,CP,Canadian Pacific Railway Limited,85.21B,-1.79%,1882895,9.44B
12,WM,"Waste Management, Inc.",84.74B,0.03%,1028186,20.43B
13,CNI,Canadian National Railway Company,83.52B,-1.67%,804429,12.65B
14,ITW,Illinois Tool Works Inc.,78.49B,0.86%,2397544,16.11B
15,GD,General Dynamics Corporation,75.44B,0.01%,839796,42.27B
16,CSX,CSX Corporation,72.55B,-1.99%,13272290,14.66B
17,TRI,Thomson Reuters Corporation,71.32B,0.52%,362129,6.79B
18,PH,Parker-Hannifin Corporation,69.29B,-0.61%,612374,19.83B
19,NOC,Northrop Grumman Corporation,68.75B,0.57%,669587,39.29B
20,TDG,TransDigm Group Incorporated,66.03B,-0.13%,175835,6.98B
21,TT,Trane Technologies plc,64.93B,2.10%,1347470,17.68B
22,CTAS,Cintas Corporation,63.83B,1.03%,324495,9.19B
23,FDX,FedEx Corporation,63.60B,0.12%,1327164,87.95B
24,EMR,Emerson Electric Co.,63.09B,0.05%,2878386,15.91B
25,PCAR,PACCAR Inc,60.75B,-0.66%,2700869,35.13B
26,NSC,Norfolk Southern Corporation,59.44B,-1.77%,1385486,12.16B
27,ROP,"Roper Technologies, Inc.",58.81B,-0.44%,371484,6.18B
28,RSG,"Republic Services, Inc.",58.48B,0.24%,608656,14.96B
29,MMM,3M Company,57.52B,-0.91%,6914339,32.68B
30,CARR,Carrier Global Corporation,51.78B,-0.95%,4083485,22.10B
31,GWW,"W.W. Grainger, Inc.",48.76B,1.74%,284571,16.48B
32,ODFL,"Old Dominion Freight Line, Inc.",46.43B,-1.67%,963504,5.87B
33,URI,"United Rentals, Inc.",44.91B,0.61%,736251,14.33B
34,PAYX,"Paychex, Inc.",43.95B,-0.46%,1674352,5.15B
35,WCN,"Waste Connections, Inc.",43.76B,-0.35%,662774,8.02B
36,FAST,Fastenal Company,43.09B,0.31%,2854792,7.35B
37,JCI,Johnson Controls International plc,42.46B,1.27%,9448931,26.82B
38,AME,"AMETEK, Inc.",41.97B,0.05%,650342,6.60B
39,FERG,Ferguson plc,41.76B,0.33%,1089307,29.36B
40,LHX,"L3Harris Technologies, Inc.",41.01B,-1.09%,1618930,19.42B
41,OTIS,Otis Worldwide Corporation,39.95B,0.19%,3305902,14.21B
42,CMI,Cummins Inc.,38.34B,-2.46%,6176098,34.07B
43,IR,Ingersoll Rand Inc.,36.52B,0.53%,2036916,6.88B
44,PWR,"Quanta Services, Inc.",35.25B,0.22%,713797,20.88B
45,GPN,Global Payments Inc.,34.57B,-1.31%,2825002,9.65B
46,VRSK,"Verisk Analytics, Inc.",33.88B,-1.28%,992511,2.68B
47,ROK,"Rockwell Automation, Inc.",32.59B,-1.54%,790225,9.13B
48,EFX,Equifax Inc.,32.45B,-1.94%,682457,5.27B
49,RYAAY,Ryanair Holdings plc,31.15B,-1.89%,446491,11.71B
50,XYL,Xylem Inc.,30.95B,-0.05%,1335397,7.36B
51,DAL,"Delta Air Lines, Inc.",28.25B,-1.94%,9567017,58.05B
52,VRT,Vertiv Holdings Co,28.03B,0.75%,7678440,6.86B
53,HWM,Howmet Aerospace Inc.,26.93B,-0.20%,3536365,6.64B
54,WAB,Westinghouse Air Brake Technologies Corporation,25.19B,-1.03%,995283,9.68B
55,DOV,Dover Corporation,24.79B,-1.21%,1022261,8.44B
56,BLDR,"Builders FirstSource, Inc.",24.53B,-2.84%,1099054,17.10B
57,AXON,"Axon Enterprise, Inc.",23.03B,-0.11%,427432,1.56B
58,HEI,HEICO Corporation,22.93B,-0.77%,289242,3.24B
59,HEI.A,HEICO Corporation,22.79B,-1.18%,140764,3.24B
60,HUBB,Hubbell Incorporated,21.56B,0.58%,499226,5.37B
61,JBHT,"J.B. Hunt Transport Services, Inc.",20.81B,-1.61%,847323,12.83B
62,VLTO,Veralto Corporation,18.96B,-0.98%,1124650,5.02B
63,J,Jacobs Engineering Group Inc.,18.93B,-0.87%,543092,16.71B
64,BAH,Booz Allen Hamilton Holding Corporation,18.84B,-0.64%,474027,10.32B
65,IEX,IDEX Corporation,18.22B,0.22%,349239,3.27B
66,TXT,Textron Inc.,17.74B,0.08%,1031208,13.68B
67,ZTO,ZTO Express (Cayman) Inc.,17.73B,-0.42%,6697218,5.18B
68,EXPD,"Expeditors International of Washington, Inc.",17.47B,-2.08%,1011498,9.30B
69,CSL,Carlisle Companies Incorporated,17.33B,0.14%,222849,4.59B
70,AVY,Avery Dennison Corporation,17.30B,0.53%,437777,8.36B
71,AER,AerCap Holdings N.V.,17.10B,0.46%,1884141,7.58B
72,LUV,Southwest Airlines Co.,16.87B,-0.60%,9799026,26.09B
73,LII,Lennox International Inc.,16.75B,-0.26%,264862,4.98B
74,MAS,Masco Corporation,16.50B,-1.56%,2575525,7.97B
75,RTO,Rentokil Initial plc,16.00B,-1.12%,609884,6.80B
76,WSO,"Watsco, Inc.",15.84B,-1.39%,450540,7.28B
77,GGG,Graco Inc.,15.79B,-0.44%,1013075,2.20B
78,SAIA,"Saia, Inc.",15.65B,-0.69%,235662,2.88B
79,POOL,Pool Corporation,15.56B,-2.52%,531246,5.54B
80,CNHI,CNH Industrial N.V.,15.43B,1.30%,11113785,24.69B
81,SNA,Snap-on Incorporated,15.37B,-1.33%,390469,5.11B
82,EME,"EMCOR Group, Inc.",15.24B,0.88%,414877,12.58B
83,WSO.B,"Watsco, Inc.",15.20B,-4.71%,5,7.28B
84,NDSN,Nordson Corporation,15.15B,-0.29%,216070,2.65B
85,TRU,TransUnion,15.06B,-1.62%,1078599,3.83B
86,XPO,"XPO Logistics, Inc.",14.25B,0.55%,727257,7.74B
87,SWK,"Stanley Black & Decker, Inc.",14.17B,-2.75%,915445,15.78B
88,LECO,"Lincoln Electric Holdings, Inc.",14.14B,-0.80%,344732,4.19B
89,OC,Owens Corning,14.12B,-2.98%,707167,9.68B
90,UAL,"United Airlines Holdings, Inc.",14.12B,-0.43%,7239404,53.72B
91,RBA,RB Global Inc,13.93B,-0.30%,516733,3.68B
92,PNR,Pentair plc,13.56B,-1.73%,1159814,4.10B
93,BLD,TopBuild Corp.,13.06B,-0.62%,359889,5.19B
94,UHAL,U-Haul Holding Company,12.91B,-0.78%,105707,5.72B
95,GFL,GFL Environmental Inc.,12.89B,-1.67%,1122439,5.65B
96,UHAL.B,U-Haul Holding Company,12.83B,-0.78%,360716,5.72B
97,TFII,TFI International Inc.,12.71B,0.37%,246675,7.52B
98,AOS,A. O. Smith Corporation,12.67B,0.53%,819839,3.85B
99,WMS,"Advanced Drainage Systems, Inc.",12.60B,-0.42%,396297,2.84B
100,ACM,AECOM,12.44B,-0.65%,681951,14.90B
101,NVT,nVent Electric plc,11.68B,-0.66%,1146408,3.26B
102,ALLE,Allegion plc,11.62B,-1.68%,808046,3.65B
103,RRX,Regal Rexnord Corporation,11.60B,-2.07%,233199,6.25B
104,HII,"Huntington Ingalls Industries, Inc.",11.48B,-1.05%,228124,11.45B
105,FIX,"Comfort Systems USA, Inc.",10.71B,0.79%,455743,5.21B
106,ITT,ITT Inc.,10.47B,-0.50%,152836,3.28B
107,TREX,"Trex Company, Inc.",10.46B,-1.54%,565907,1.09B
108,FBIN,"Fortune Brands Innovations, Inc.",10.13B,-2.50%,969407,4.63B
109,CLH,"Clean Harbors, Inc.",10.10B,0.66%,206941,5.41B
110,TTEK,"Tetra Tech, Inc.",9.79B,-1.87%,209616,4.86B
111,CNM,"Core & Main, Inc.",9.77B,1.35%,3681615,6.64B
112,STN,Stantec Inc.,9.73B,-0.41%,108025,3.81B
113,TTC,The Toro Company,9.36B,-1.36%,653424,4.41B
114,APG,APi Group Corporation,9.33B,-1.66%,1163393,6.93B
115,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",9.29B,1.62%,33696,1.30B
116,CW,Curtiss-Wright Corporation,9.21B,0.01%,123649,2.85B
117,AAL,American Airlines Group Inc.,9.16B,-0.07%,24668996,52.79B
118,KNX,Knight-Swift Transportation Holdings Inc.,9.06B,-2.65%,1593690,7.14B
119,BWXT,"BWX Technologies, Inc.",9.05B,-1.87%,674966,2.50B
120,ESLT,Elbit Systems Ltd.,9.04B,-2.22%,43227,5.86B
121,WWD,"Woodward, Inc.",8.85B,-1.11%,197306,3.08B
122,WSC,WillScot Mobile Mini Holdings Corp.,8.76B,-2.10%,1923926,2.36B
123,CHRW,"C.H. Robinson Worldwide, Inc.",8.76B,-0.54%,2171298,17.60B
124,PSN,Parsons Corporation,8.73B,-1.27%,676524,5.44B
125,DCI,"Donaldson Company, Inc.",8.73B,0.81%,832869,3.48B
126,BZ,Kanzhun Limited,8.66B,-5.27%,5930408,839.50M
127,AGCO,AGCO Corporation,8.65B,-0.95%,683932,14.41B
128,ARMK,Aramark,8.57B,-2.70%,2120556,18.66B
129,RHI,Robert Half International Inc.,8.47B,-2.11%,873619,6.39B
130,MIDD,The Middleby Corporation,8.37B,-1.70%,336739,4.04B
131,SSD,"Simpson Manufacturing Co., Inc.",8.35B,-2.30%,272957,2.21B
132,KBR,"KBR, Inc.",8.19B,-0.85%,921659,6.96B
133,WCC,"WESCO International, Inc.",8.13B,-2.03%,443528,22.39B
134,AYI,"Acuity Brands, Inc.",7.91B,-0.30%,142507,3.89B
135,RBC,RBC Bearings Incorporated,7.75B,-1.99%,98049,1.54B
136,SITE,"SiteOne Landscape Supply, Inc.",7.63B,-3.81%,368189,4.30B
137,OSK,Oshkosh Corporation,7.60B,-1.16%,372455,9.66B
138,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.52B,2.63%,84337,1.41B
139,IEP,Icahn Enterprises L.P.,7.40B,-0.80%,566602,10.85B
140,MSA,MSA Safety Incorporated,7.35B,-1.69%,100831,1.79B
141,FCN,"FTI Consulting, Inc.",7.25B,-0.02%,238268,3.49B
142,AIT,"Applied Industrial Technologies, Inc.",7.18B,0.75%,305123,4.46B
143,AZEK,The AZEK Company Inc.,6.99B,-0.81%,720851,1.39B
144,GNRC,Generac Holdings Inc.,6.91B,-1.64%,609245,4.02B
145,MTZ,"MasTec, Inc.",6.87B,-2.70%,665593,12.00B
146,IBP,"Installed Building Products, Inc.",6.87B,-0.17%,246842,2.78B
147,WTS,"Watts Water Technologies, Inc.",6.74B,-0.68%,98170,2.06B
148,LSTR,"Landstar System, Inc.",6.65B,-1.47%,225594,5.30B
