,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,228.70B,-0.20%,3304083,32.85B
1,BHP,BHP Group Limited,144.01B,-1.46%,2889829,55.34B
2,RIO,Rio Tinto Group,100.56B,-1.77%,3593490,54.04B
3,SHW,The Sherwin-Williams Company,85.58B,-0.56%,1240955,23.05B
4,SCCO,Southern Copper Corporation,74.45B,0.91%,2269590,9.90B
5,ECL,Ecolab Inc.,64.29B,-0.16%,1030664,15.32B
6,FCX,Freeport-McMoRan Inc.,62.14B,-0.21%,13892817,22.86B
7,CRH,CRH plc,59.86B,0.24%,2128193,34.95B
8,APD,"Air Products and Chemicals, Inc.",54.97B,-0.87%,1415980,12.42B
9,VALE,Vale S.A.,51.91B,-1.38%,30405697,43.84B
10,NUE,Nucor Corporation,44.32B,-1.09%,1421163,34.71B
11,DOW,Dow Inc.,40.42B,-1.12%,6848828,44.62B
12,NEM,Newmont Corporation,39.44B,-0.47%,14362331,11.81B
13,CTVA,"Corteva, Inc.",38.81B,-0.18%,2529114,17.23B
14,MLM,"Martin Marietta Materials, Inc.",37.50B,0.27%,411869,6.78B
15,VMC,Vulcan Materials Company,35.80B,0.52%,1002985,7.78B
16,LYB,LyondellBasell Industries N.V.,33.01B,-1.68%,2676930,41.11B
17,PPG,"PPG Industries, Inc.",32.71B,-2.06%,2194341,18.25B
18,DD,"DuPont de Nemours, Inc.",30.81B,0.04%,2613274,12.07B
19,GOLD,Barrick Gold Corporation,28.05B,-1.38%,16453596,11.40B
20,AEM,Agnico Eagle Mines Limited,27.96B,-1.07%,2148310,6.63B
21,NTR,Nutrien Ltd.,26.55B,-1.10%,1597385,29.06B
22,PKX,POSCO Holdings Inc.,25.18B,-3.11%,83730,59.55B
23,TECK,Teck Resources Limited,23.06B,-1.77%,3915117,11.29B
24,FNV,Franco-Nevada Corporation,22.33B,-1.50%,661013,1.22B
25,MT,ArcelorMittal S.A.,21.49B,-2.04%,1769449,68.28B
26,STLD,"Steel Dynamics, Inc.",21.18B,-1.34%,933949,18.80B
27,IFF,International Flavors & Fragrances Inc.,21.09B,-1.21%,1540999,11.48B
28,WPM,Wheaton Precious Metals Corp.,20.40B,-1.25%,1621329,938.63M
29,RS,Reliance Steel & Aluminum Co.,18.61B,-1.49%,297399,14.81B
30,WLK,Westlake Corporation,18.48B,-1.15%,347734,12.55B
31,JHX,James Hardie Industries plc,17.73B,-1.15%,35953,3.85B
32,AVTR,"Avantor, Inc.",17.22B,-0.43%,2253466,6.97B
33,CE,Celanese Corporation,17.18B,-0.06%,944202,10.94B
34,CF,"CF Industries Holdings, Inc.",15.74B,-0.96%,2603299,6.63B
35,SUZ,Suzano S.A.,15.35B,-0.33%,1067539,8.16B
36,RPM,RPM International Inc.,14.92B,-1.77%,713268,7.34B
37,ALB,Albemarle Corporation,14.78B,-4.39%,3008631,9.62B
38,SQM,Sociedad Química y Minera de Chile S.A.,14.06B,-2.85%,1127530,10.71B
39,GFI,Gold Fields Limited,13.15B,-3.02%,3502990,4.29B
40,CX,"CEMEX, SAB de CV",12.16B,3.68%,9671544,15.58B
41,EMN,Eastman Chemical Company,10.92B,-1.08%,2428738,9.21B
42,MOS,The Mosaic Company,10.28B,-1.00%,5014974,13.70B
43,CLF,Cleveland-Cliffs Inc.,10.18B,-3.77%,15875050,22.00B
44,AU,AngloGold Ashanti Limited,9.26B,-2.20%,2095124,4.50B
45,EXP,Eagle Materials Inc.,8.61B,0.24%,533462,2.25B
46,X,United States Steel Corporation,8.56B,-6.36%,28928567,18.05B
47,FMC,FMC Corporation,7.99B,-2.50%,1903172,4.49B
48,TX,Ternium S.A.,7.80B,-1.46%,128981,17.63B
49,RGLD,"Royal Gold, Inc.",7.50B,-2.16%,379444,605.72M
50,GGB,Gerdau S.A.,7.42B,-3.42%,12521532,15.58B
51,AXTA,Axalta Coating Systems Ltd.,7.33B,-1.60%,1598553,5.18B
52,SUM,"Summit Materials, Inc.",7.25B,-0.81%,1310361,2.62B
53,UFPI,"UFP Industries, Inc.",7.09B,-0.96%,369988,7.22B
54,KGC,Kinross Gold Corporation,7.01B,-1.40%,12044610,4.24B
55,OLN,Olin Corporation,6.96B,-0.47%,792261,6.83B
56,WFG,West Fraser Timber Co. Ltd.,6.57B,-2.53%,106080,6.45B
57,ICL,ICL Group Ltd,6.30B,-2.78%,1090889,7.54B
58,CMC,Commercial Metals Company,6.14B,0.87%,966620,8.58B
59,NEU,NewMarket Corporation,5.90B,1.14%,40650,2.70B
60,ESI,Element Solutions Inc,5.84B,-1.19%,821984,2.33B
61,AA,Alcoa Corporation,5.49B,-1.77%,5192460,10.55B
62,AGI,Alamos Gold Inc.,5.48B,-1.59%,1652822,1.02B
63,PAAS,Pan American Silver Corp.,5.21B,-0.98%,3444922,2.32B
64,BCC,Boise Cascade Company,5.11B,-1.11%,243764,6.84B
65,BCPC,Balchem Corporation,4.97B,-0.82%,84495,922.44M
66,SIM,"Grupo Simec, SAB de CV",4.95B,0.38%,332,2.78B
67,ALTM,Arcadium Lithium plc,4.88B,-6.20%,19696095,882.50M
68,CBT,Cabot Corporation,4.83B,-0.48%,222901,3.92B
69,HMY,Harmony Gold Mining Company Limited,4.81B,-1.78%,7665542,168.11M
