,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",123.31B,-1.94%,3074455,8.02B
1,AMT,American Tower Corporation,92.89B,-1.56%,1989080,11.14B
2,EQIX,"Equinix, Inc.",81.82B,-0.29%,676761,8.19B
3,SPG,"Simon Property Group, Inc.",56.78B,-1.41%,1061412,5.66B
4,WELL,Welltower Inc.,52.72B,-1.06%,2517076,6.64B
5,PSA,Public Storage,50.89B,-2.84%,833859,4.52B
6,CCI,Crown Castle Inc.,46.11B,-2.15%,2736648,6.98B
7,DLR,"Digital Realty Trust, Inc.",45.88B,0.07%,1917147,5.48B
8,O,Realty Income Corporation,45.02B,-1.19%,9538922,4.08B
9,CSGP,"CoStar Group, Inc.",35.89B,0.07%,2032329,2.46B
10,EXR,Extra Space Storage Inc.,32.35B,-2.67%,1170212,2.56B
11,VICI,VICI Properties Inc.,30.56B,-1.67%,6536644,3.61B
12,CBRE,"CBRE Group, Inc.",28.54B,-0.95%,1647004,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.45B,-2.07%,648998,2.77B
14,WY,Weyerhaeuser Company,25.21B,-0.87%,2778085,7.67B
15,SBAC,SBA Communications Corporation,23.76B,-1.67%,1055037,2.71B
16,EQR,Equity Residential,23.67B,-1.47%,1914642,2.87B
17,IRM,Iron Mountain Incorporated,23.41B,-1.76%,1494829,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",21.90B,-1.36%,1261451,2.89B
19,KSPI,Joint Stock Company Kaspi.kz,21.78B,3.38%,200407,4.25B
20,INVH,Invitation Homes Inc.,21.20B,-0.99%,3280798,2.43B
21,BEKE,KE Holdings Inc.,17.94B,-2.50%,16310417,10.22B
22,VTR,"Ventas, Inc.",17.47B,-1.87%,2470023,4.50B
23,SUI,"Sun Communities, Inc.",17.37B,-2.03%,698176,3.22B
24,ESS,"Essex Property Trust, Inc.",15.76B,-2.15%,409096,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",15.48B,-1.27%,576362,2.15B
26,AMH,American Homes 4 Rent,15.16B,-0.74%,2458820,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.85B,-0.67%,4745911,5.31B
28,UDR,"UDR, Inc.",13.30B,-1.95%,2588373,1.63B
29,KIM,Kimco Realty Corporation,13.03B,-2.94%,3950116,1.78B
30,ELS,"Equity LifeStyle Properties, Inc.",12.85B,-1.87%,775493,1.49B
31,GLPI,"Gaming and Leisure Properties, Inc.",12.20B,-0.98%,1472377,1.44B
32,WPC,W. P. Carey Inc.,12.11B,-1.66%,1927865,1.74B
33,LAMR,Lamar Advertising Company,11.99B,0.28%,501433,2.11B
34,DOC,"Healthpeak Properties, Inc.",11.98B,-1.91%,10899097,2.18B
35,REXR,"Rexford Industrial Realty, Inc.",11.52B,-2.66%,1405438,797.83M
36,REG,Regency Centers Corporation,11.00B,-2.24%,1033365,1.32B
37,CPT,Camden Property Trust,10.59B,-1.12%,1241452,1.56B
38,CUBE,CubeSmart,10.27B,-3.83%,1493652,1.05B
39,BXP,"Boston Properties, Inc.",10.09B,-2.58%,1211097,3.27B
40,NLY,"Annaly Capital Management, Inc.",9.97B,-2.61%,2770791,-1.44B
41,JLL,Jones Lang LaSalle Incorporated,8.77B,-0.03%,388594,20.76B
42,EGP,"EastGroup Properties, Inc.",8.60B,-0.95%,278229,570.59M
43,FRT,Federal Realty Investment Trust,8.46B,-1.83%,506087,1.13B
44,OHI,"Omega Healthcare Investors, Inc.",7.83B,-0.48%,1112905,949.74M
45,FSV,FirstService Corporation,7.66B,1.06%,46237,4.33B
46,NNN,NNN REIT Inc,7.51B,-1.56%,1232951,828.11M
47,COLD,"Americold Realty Trust, Inc.",7.33B,-1.32%,2050912,2.67B
48,FR,"First Industrial Realty Trust, Inc.",7.19B,-0.81%,734271,614.03M
49,STAG,"STAG Industrial, Inc.",6.94B,-1.92%,1055582,707.84M
50,RHP,"Ryman Hospitality Properties, Inc.",6.94B,1.03%,431847,2.16B
51,AGNC,AGNC Investment Corp.,6.69B,-2.43%,8397725,251.00M
52,BRX,Brixmor Property Group Inc.,6.64B,-1.69%,3351418,1.25B
53,STWD,"Starwood Property Trust, Inc.",6.58B,-2.60%,2287291,2.05B
54,CIGI,Colliers International Group Inc.,5.97B,0.64%,82585,4.34B
55,ADC,Agree Realty Corporation,5.67B,-1.81%,1321007,537.50M
56,TRNO,Terreno Realty Corporation,5.64B,-1.44%,551460,323.59M
57,VNO,Vornado Realty Trust,5.39B,-4.58%,1823179,1.81B
58,RITM,Rithm Capital Corp.,5.39B,-2.60%,2821843,3.69B
59,RYN,Rayonier Inc.,5.10B,-1.42%,397179,1.06B
60,HR,Healthcare Realty Trust Incorporated,4.93B,-3.36%,4624080,1.34B
61,NSA,National Storage Affiliates Trust,4.92B,-2.42%,782984,858.06M
62,PECO,"Phillips Edison & Company, Inc.",4.89B,-1.43%,473964,610.12M
63,KRG,Kite Realty Group Trust,4.56B,-2.40%,1567655,823.00M
64,AIRC,Apartment Income REIT Corp.,4.52B,-1.76%,965053,820.04M
65,EPRT,"Essential Properties Realty Trust, Inc.",4.34B,-1.10%,2242059,359.60M
66,KRC,Kilroy Realty Corporation,4.18B,-2.58%,849423,1.13B
67,APLE,"Apple Hospitality REIT, Inc.",3.94B,-1.15%,2513522,1.34B
68,HHH,Howard Hughes Holdings Inc,3.78B,-2.04%,294554,1.02B
69,RLJ,RLJ Lodging Trust,3.73B,-0.75%,997541,1.33B
70,MAC,The Macerich Company,3.69B,-2.68%,1975926,884.07M
71,IRT,"Independence Realty Trust, Inc.",3.65B,-2.21%,1841601,660.98M
72,PCH,PotlatchDeltic Corporation,3.64B,-2.29%,434794,1.02B
73,PK,Park Hotels & Resorts Inc.,3.59B,-0.47%,2248497,2.70B
74,CUZ,Cousins Properties Incorporated,3.57B,-2.04%,1121254,802.87M
75,BXMT,"Blackstone Mortgage Trust, Inc.",3.40B,-2.09%,2237872,670.67M
76,SLG,SL Green Realty Corp.,3.33B,-3.50%,1460097,913.71M
77,SBRA,"Sabra Health Care REIT, Inc.",3.28B,-0.63%,1966547,647.51M
78,CTRE,"CareTrust REIT, Inc.",3.19B,-0.30%,1246435,217.77M
79,SKT,"Tanger Factory Outlet Centers, Inc.",3.19B,-2.87%,999998,464.41M
80,JOE,The St. Joe Company,3.16B,-3.38%,171908,389.29M
81,EPR,EPR Properties,3.15B,-1.40%,585845,705.67M
82,TCN,Tricon Residential Inc.,3.03B,0.09%,4439847,849.78M
83,DBRG,"DigitalBridge Group, Inc.",3.03B,0.43%,2097270,821.38M
84,SITC,SITE Centers Corp.,2.95B,-0.57%,2240285,546.28M
85,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.91B,-5.03%,1043998,319.87M
86,CDP,COPT Defense Properties,2.81B,-1.79%,627741,684.98M
87,BNL,"Broadstone Net Lease, Inc.",2.79B,-0.41%,2394486,442.89M
88,ESRT,"Empire State Realty Trust, Inc.",2.74B,-2.08%,938010,739.57M
89,IIPR,"Innovative Industrial Properties, Inc.",2.72B,-0.85%,201167,309.51M
90,DEI,"Douglas Emmett, Inc.",2.70B,-3.87%,1927564,1.02B
91,LXP,LXP Industrial Trust,2.69B,-1.98%,2723259,340.50M
92,MPW,"Medical Properties Trust, Inc.",2.65B,-4.98%,12914713,871.80M
93,OUT,Outfront Media Inc.,2.64B,-0.80%,2109472,1.82B
94,HIW,"Highwoods Properties, Inc.",2.63B,-1.61%,843993,834.00M
95,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,0.50%,136684,214.50M
96,NMRK,"Newmark Group, Inc.",2.58B,0.56%,1346131,2.47B
97,NHI,"National Health Investors, Inc.",2.58B,-0.75%,168921,319.84M
98,ESBA,"Empire State Realty OP, L.P.",2.53B,-2.60%,589,739.57M
99,ABR,"Arbor Realty Trust, Inc.",2.39B,-2.54%,3529844,721.01M
100,SHO,"Sunstone Hotel Investors, Inc.",2.26B,-0.45%,1685161,986.48M
101,CWK,Cushman & Wakefield plc,2.22B,-0.31%,1286662,9.49B
102,FCPT,"Four Corners Property Trust, Inc.",2.19B,-0.83%,649330,250.61M
103,UE,Urban Edge Properties,2.07B,-1.67%,871126,416.92M
104,EQC,Equity Commonwealth,2.02B,-0.73%,1364230,60.52M
105,DRH,DiamondRock Hospitality Company,1.98B,-0.42%,1056405,1.07B
106,PEB,Pebblebrook Hotel Trust,1.91B,-1.20%,883888,1.42B
107,AKR,Acadia Realty Trust,1.85B,-1.33%,887037,338.69M
108,FOR,Forestar Group Inc.,1.85B,-2.11%,214648,1.53B
109,OPEN,Opendoor Technologies Inc.,1.77B,-8.04%,18801456,6.95B
110,EXPI,"eXp World Holdings, Inc.",1.72B,-8.50%,1149440,4.28B
111,GNL,"Global Net Lease, Inc.",1.71B,-2.39%,1614550,515.07M
112,IVT,InvenTrust Properties Corp.,1.70B,-1.28%,392698,258.68M
113,CXW,"CoreCivic, Inc.",1.66B,-1.22%,716331,1.90B
114,ROIC,Retail Opportunity Investments Corp.,1.64B,-2.58%,903448,327.73M
115,AAT,"American Assets Trust, Inc.",1.64B,-1.04%,381238,441.16M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.57B,-0.67%,823964,1.03B
117,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.56B,-1.61%,668797,344.59M
118,NXRT,"NexPoint Residential Trust, Inc.",1.56B,-1.80%,290253,277.53M
119,RC,Ready Capital Corporation,1.55B,-2.69%,1481288,630.58M
120,JBGS,JBG SMITH Properties,1.53B,-3.49%,983076,604.20M
121,VRE,"Veris Residential, Inc.",1.50B,-0.75%,930598,279.86M
122,UNIT,Uniti Group Inc.,1.48B,-0.16%,1293862,1.15B
123,GTY,Getty Realty Corp.,1.46B,-2.14%,412994,186.42M
124,SAFE,Safehold Inc.,1.40B,-1.97%,248822,352.58M
125,LTC,"LTC Properties, Inc.",1.40B,-1.05%,257977,197.24M
126,LADR,Ladder Capital Corp,1.39B,-1.46%,559595,264.21M
127,TWO,Two Harbors Investment Corp.,1.34B,-2.62%,1123273,31.79M
128,CMTG,"Claros Mortgage Trust, Inc.",1.34B,-2.08%,262186,306.55M
129,MMI,"Marcus & Millichap, Inc.",1.29B,-0.57%,366958,645.93M
130,NTST,NETSTREIT Corp.,1.28B,-1.20%,1101119,131.91M
131,PMT,PennyMac Mortgage Investment Trust,1.25B,-2.29%,474248,429.02M
132,BFS,"Saul Centers, Inc.",1.25B,-4.05%,80691,257.21M
133,ALEX,"Alexander & Baldwin, Inc.",1.20B,-2.08%,610052,208.90M
134,ELME,Elme Communities,1.19B,-0.96%,556277,227.91M
135,DEA,"Easterly Government Properties, Inc.",1.17B,-2.58%,839179,287.23M
136,MFA,"MFA Financial, Inc.",1.17B,-2.19%,652306,248.45M
137,AHR,"American Healthcare REIT, Inc.",1.16B,0.29%,542910,1.84B
138,KW,"Kennedy-Wilson Holdings, Inc.",1.15B,-3.25%,2371580,562.60M
139,UMH,"UMH Properties, Inc.",1.11B,-1.38%,344869,220.93M
140,AIV,Apartment Investment and Management Company,1.10B,-2.37%,642521,187.00M
141,FBRT,"Franklin BSP Realty Trust, Inc.",1.08B,-1.97%,367257,263.95M
142,PGRE,"Paramount Group, Inc.",1.08B,-1.93%,1158869,742.79M
143,ALX,"Alexander's, Inc.",1.07B,-0.71%,6693,224.96M
144,SVC,Service Properties Trust,1.07B,-1.24%,1231528,1.87B
145,CIM,Chimera Investment Corporation,1.06B,-3.93%,1575260,252.64M
146,PLYM,"Plymouth Industrial REIT, Inc.",986.25M,-0.46%,316194,199.85M
147,EFC,Ellington Financial Inc.,970.61M,-2.77%,753649,276.92M
148,ARR,"ARMOUR Residential REIT, Inc.",967.68M,-4.44%,1831001,-86.22M
149,AHH,"Armada Hoffler Properties, Inc.",929.31M,-2.19%,375131,667.16M
150,HPP,"Hudson Pacific Properties, Inc.",929.00M,-5.39%,1942026,952.30M
151,CSR,Centerspace,908.22M,-2.68%,50311,261.31M
152,BRSP,"BrightSpire Capital, Inc.",872.20M,-2.75%,705250,232.72M
153,RWT,"Redwood Trust, Inc.",814.46M,-2.26%,2091231,165.63M
154,PDM,"Piedmont Office Realty Trust, Inc.",797.28M,-2.64%,587609,577.76M
155,BDN,Brandywine Realty Trust,772.23M,-2.24%,1531230,514.65M
156,RDFN,Redfin Corporation,753.61M,-11.24%,5893968,976.67M
157,CBL,"CBL & Associates Properties, Inc.",731.64M,-1.03%,118639,535.29M
158,CHCT,Community Healthcare Trust Incorporated,727.60M,-2.45%,138337,112.85M
159,DX,"Dynex Capital, Inc.",721.85M,-3.45%,1207057,26.75M
160,KREF,KKR Real Estate Finance Trust Inc.,687.59M,-2.26%,391979,202.81M
161,INN,"Summit Hotel Properties, Inc.",683.22M,-0.63%,575496,736.13M
162,HOUS,Anywhere Real Estate Inc.,680.61M,-4.06%,1218979,5.64B
163,NYMT,"New York Mortgage Trust, Inc.",667.84M,-3.01%,649178,198.87M
164,DHC,Diversified Healthcare Trust,622.68M,-2.32%,1381668,1.41B
165,WSR,Whitestone REIT,622.26M,-2.26%,299088,146.97M
166,GMRE,Global Medical REIT Inc.,612.59M,-2.80%,633988,141.05M
167,TRTX,"TPG RE Finance Trust, Inc.",598.81M,-1.56%,557901,116.39M
168,REAX,The Real Brokerage Inc.,590.85M,-0.62%,324287,689.16M
169,FRPH,"FRP Holdings, Inc.",582.62M,-3.05%,9976,41.25M
170,PGRU,PropertyGuru Limited,576.72M,-,24516,113.74M
171,GOOD,Gladstone Commercial Corporation,538.57M,-1.36%,270623,147.58M
172,FPI,Farmland Partners Inc.,538.10M,-1.19%,249391,57.47M
173,UHT,Universal Health Realty Income Trust,527.11M,-2.44%,191769,95.58M
174,SRG,Seritage Growth Properties,514.66M,-1.19%,580798,34.56M
175,CLDT,Chatham Lodging Trust,510.47M,-,206635,311.11M
176,OLP,"One Liberty Properties, Inc.",476.29M,-1.03%,53753,90.65M
177,LAND,Gladstone Land Corporation,467.12M,-1.97%,195929,90.40M
178,FPH,"Five Point Holdings, LLC",460.28M,-0.95%,26700,211.73M
179,LSEA,Landsea Homes Corporation,454.59M,-9.33%,266659,1.21B
180,IVR,Invesco Mortgage Capital Inc.,440.02M,-2.68%,746610,3.87M
181,ORC,"Orchid Island Capital, Inc.",439.16M,-3.06%,759913,-20.70M
182,MLP,"Maui Land & Pineapple Company, Inc.",419.96M,-3.32%,23759,9.05M
183,ACRE,Ares Commercial Real Estate Corporation,419.05M,-1.95%,433430,92.93M
184,STRW,Strawberry Fields REIT LLC,411.81M,-,5363,97.90M
185,PSTL,"Postal Realty Trust, Inc.",392.41M,-1.06%,110479,63.71M
186,RMR,The RMR Group Inc.,387.64M,0.30%,170142,973.25M
187,CTO,"CTO Realty Growth, Inc.",379.99M,-1.02%,202659,109.12M
188,TCI,"Transcontinental Realty Investors, Inc.",341.47M,-0.80%,2443,49.24M
189,NLOP,Net Lease Office Properties,332.04M,-0.29%,110859,174.97M
190,NREF,"NexPoint Real Estate Finance, Inc.",326.48M,-5.65%,56262,28.68M
