,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,084.38B",2.44%,33910848,227.58B
1,AAPL,Apple Inc,"2,642.57B",1.09%,72519395,385.71B
2,NVDA,NVIDIA Corporation,"2,272.20B",-3.24%,59643452,60.92B
3,TSM,Taiwan Semiconductor Manufacturing Company Limited,724.88B,-1.77%,14929172,70.35B
4,AVGO,Broadcom Inc.,584.96B,0.35%,3596745,38.87B
5,ASML,ASML Holding N.V.,379.99B,-0.93%,875958,30.62B
6,ORCL,Oracle Corporation,345.02B,0.01%,11290602,52.51B
7,AMD,"Advanced Micro Devices, Inc.",314.74B,-3.97%,82997602,22.68B
8,CRM,"Salesforce, Inc.",295.54B,-0.45%,4814215,34.86B
9,ADBE,Adobe Inc.,259.56B,-0.54%,4777889,19.41B
10,ACN,Accenture plc,237.13B,-0.13%,1702494,64.59B
11,SAP,SAP SE,223.11B,-1.07%,658945,33.95B
12,CSCO,"Cisco Systems, Inc.",202.90B,-0.64%,16850957,57.23B
13,QCOM,QUALCOMM Incorporated,187.99B,-0.47%,8144958,36.29B
14,INTU,Intuit Inc.,182.00B,-0.77%,1128685,15.09B
15,INTC,Intel Corporation,180.75B,-1.11%,37296771,54.23B
16,IBM,International Business Machines Corporation,180.32B,-1.66%,4107278,61.86B
17,AMAT,"Applied Materials, Inc.",166.80B,0.09%,4908012,26.49B
18,UBER,"Uber Technologies, Inc.",162.49B,-0.77%,9999994,37.28B
19,NOW,"ServiceNow, Inc.",159.52B,0.34%,883489,8.97B
20,TXN,Texas Instruments Incorporated,155.75B,-0.89%,5028006,17.52B
21,LRCX,Lam Research Corporation,121.49B,-0.11%,967093,14.32B
22,SONY,Sony Group Corporation,106.79B,-0.84%,647974,88.88B
23,MU,"Micron Technology, Inc.",103.94B,-2.90%,16678131,16.18B
24,SHOP,Shopify Inc.,100.83B,-0.33%,6747558,7.06B
25,ADI,"Analog Devices, Inc.",98.49B,-2.10%,4340609,11.57B
26,KLAC,KLA Corporation,93.63B,0.53%,933965,9.67B
27,PANW,"Palo Alto Networks, Inc.",92.92B,-0.88%,4937842,7.53B
28,FI,"Fiserv, Inc.",89.18B,-0.73%,2442896,19.09B
29,ANET,"Arista Networks, Inc.",88.37B,1.18%,3076482,5.86B
30,SNPS,"Synopsys, Inc.",85.32B,-0.34%,726836,6.13B
31,CDNS,"Cadence Design Systems, Inc.",83.37B,0.01%,1030165,4.09B
32,INFY,Infosys Limited,81.65B,1.39%,8407625,18.21B
33,CRWD,"CrowdStrike Holdings, Inc.",80.34B,-1.08%,2760017,3.06B
34,ARM,Arm Holdings plc,77.65B,-0.24%,10015057,2.96B
35,DELL,Dell Technologies Inc.,74.65B,-3.23%,7933868,88.43B
36,WDAY,"Workday, Inc.",71.87B,0.86%,1376874,7.26B
37,SMCI,"Super Micro Computer, Inc.",66.45B,-4.88%,6131590,9.25B
