,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",122.22B,-,16993339,28.11B
1,SO,The Southern Company,75.69B,-0.80%,4198561,25.25B
2,DUK,Duke Energy Corporation,73.61B,-0.47%,3439131,29.06B
3,CEG,Constellation Energy Corporation,53.16B,-1.92%,2899555,24.92B
4,NGG,National Grid plc,50.00B,-0.22%,218167,26.10B
5,SRE,Sempra,44.36B,-0.85%,3027675,16.72B
6,AEP,"American Electric Power Company, Inc.",43.67B,-1.37%,3826963,18.98B
7,PCG,PG&E Corporation,42.83B,-1.40%,10343535,24.43B
8,D,"Dominion Energy, Inc.",40.26B,-0.96%,7029982,14.39B
9,EXC,Exelon Corporation,36.54B,-1.14%,9766559,21.73B
10,PEG,Public Service Enterprise Group Incorporated,31.87B,0.09%,2298699,11.24B
11,ED,"Consolidated Edison, Inc.",30.95B,-1.00%,1435698,14.66B
12,XEL,Xcel Energy Inc.,28.59B,1.82%,8482981,14.21B
13,EIX,Edison International,26.32B,-1.72%,1784515,16.34B
14,WEC,"WEC Energy Group, Inc.",25.36B,-0.48%,2339882,8.89B
15,AWK,"American Water Works Company, Inc.",23.48B,-1.71%,1344805,4.23B
16,DTE,DTE Energy Company,22.98B,-1.50%,1526270,12.75B
17,ETR,Entergy Corporation,21.92B,-0.49%,1584186,12.15B
18,FE,FirstEnergy Corp.,21.88B,-0.18%,2512954,12.87B
19,VST,Vistra Corp.,21.82B,3.19%,6295201,14.78B
20,ES,Eversource Energy,20.55B,-0.14%,2863859,11.91B
21,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,20.20B,1.03%,1007706,6.75B
22,PPL,PPL Corporation,19.89B,-1.41%,4174025,8.31B
23,ELPC,Cia Paranaense De Energia Copel,19.87B,0.14%,5855,4.15B
24,AEE,Ameren Corporation,19.28B,-1.41%,1315615,7.50B
25,FTS,Fortis Inc.,19.24B,-0.86%,496955,8.66B
26,CNP,"CenterPoint Energy, Inc.",17.62B,-0.39%,5785721,8.70B
27,ATO,Atmos Energy Corporation,17.53B,-1.14%,1237730,3.95B
28,CMS,CMS Energy Corporation,17.31B,-0.87%,3025457,7.46B
29,BEP,Brookfield Renewable Partners L.P.,14.99B,-0.92%,398197,5.04B
30,AGR,"Avangrid, Inc.",13.75B,-0.14%,1542326,8.31B
31,BIP,Brookfield Infrastructure Partners L.P.,13.60B,-2.63%,283374,17.93B
32,NRG,"NRG Energy, Inc.",12.99B,1.52%,4214795,28.82B
33,LNT,Alliant Energy Corporation,12.53B,-1.76%,1727732,4.03B
34,KEP,Korea Electric Power Corporation,12.24B,3.04%,200324,55.94B
35,NI,NiSource Inc.,11.93B,-1.09%,4103884,5.51B
36,EVRG,"Evergy, Inc.",11.82B,-0.97%,1802250,5.51B
37,AES,The AES Corporation,11.19B,-4.57%,13561773,12.67B
38,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,10.44B,-0.78%,1136962,4.17B
39,WTRG,"Essential Utilities, Inc.",9.97B,-1.32%,2012033,2.05B
40,PNW,Pinnacle West Capital Corporation,8.03B,-0.92%,1187200,4.70B
41,OGE,OGE Energy Corp.,6.81B,-1.59%,1407921,2.67B
42,NFE,New Fortress Energy Inc.,6.66B,-3.71%,1183341,2.41B
43,ELP,Cia Paranaense De Energia Copel,5.91B,-0.63%,164911,4.15B
44,CIG,Cia Energetica DE Minas Gerais - Cemig,5.50B,-3.91%,6079290,6.51B
45,UGI,UGI Corporation,5.33B,-3.29%,1616797,8.29B
46,SWX,"Southwest Gas Holdings, Inc.",5.15B,-1.25%,705873,5.43B
47,IDA,"IDACORP, Inc.",4.55B,-0.72%,500033,1.77B
48,BIPC,Brookfield Infrastructure Corporation,4.46B,-3.08%,1010034,2.08B
49,BEPC,Brookfield Renewable Corporation,4.31B,-1.61%,1017478,4.55B
50,CWEN,"Clearway Energy, Inc.",4.23B,-2.52%,1087130,1.31B
51,ENIC,Enel Chile S.A.,4.22B,0.34%,577480,5.83B
52,AQN,Algonquin Power & Utilities Corp.,4.18B,-1.46%,6632704,2.70B
53,NJR,New Jersey Resources Corporation,4.16B,-1.42%,539512,1.71B
54,POR,Portland General Electric Company,4.12B,-1.55%,1148521,2.92B
55,ORA,"Ormat Technologies, Inc.",3.86B,-1.19%,363689,829.42M
56,BKH,Black Hills Corporation,3.60B,-0.72%,877499,2.33B
57,OGS,"ONE Gas, Inc.",3.52B,-1.37%,347834,2.37B
58,OTTR,Otter Tail Corporation,3.42B,-0.60%,277466,1.35B
59,PNM,"PNM Resources, Inc.",3.33B,-0.79%,756850,1.94B
60,ALE,"ALLETE, Inc.",3.30B,-0.57%,361055,1.88B
61,SR,Spire Inc.,3.27B,-0.99%,481531,2.61B
62,NWE,NorthWestern Corporation,3.04B,-1.47%,301507,1.42B
63,MGEE,"MGE Energy, Inc.",2.77B,-1.84%,613511,690.43M
64,CWT,California Water Service Group,2.71B,-0.89%,465483,794.63M
65,AWR,American States Water Company,2.68B,-1.46%,205198,595.70M
66,AVA,Avista Corporation,2.68B,-1.52%,419670,1.75B
67,PAM,Pampa Energía S.A.,2.67B,-,291808,1.83B
68,NEP,"NextEra Energy Partners, LP",2.64B,-1.31%,1751843,1.08B
69,FLNC,"Fluence Energy, Inc.",2.56B,-5.87%,3054818,2.27B
70,RNW,ReNew Energy Global Plc,2.32B,0.63%,601134,1.18B
71,CPK,Chesapeake Utilities Corporation,2.27B,-1.35%,112732,670.60M
72,AY,Atlantica Sustainable Infrastructure plc,2.05B,-0.17%,826445,1.10B
73,ENLT,Enlight Renewable Energy Ltd,2.05B,1.61%,33255,255.70M
74,TAC,TransAlta Corporation,2.02B,-1.06%,513078,2.52B
75,SJW,SJW Group,1.85B,-1.42%,401741,670.36M
76,EE,"Excelerate Energy, Inc.",1.73B,-1.69%,150563,1.16B
77,CEPU,Central Puerto S.A.,1.48B,-1.52%,370013,574.79M
78,NWN,Northwest Natural Holding Company,1.39B,-2.16%,461757,1.20B
79,KEN,Kenon Holdings Ltd.,1.32B,-2.61%,3410,685.96M
80,SPH,"Suburban Propane Partners, L.P.",1.26B,-5.70%,263474,1.40B
81,HE,"Hawaiian Electric Industries, Inc.",1.21B,-1.16%,2797137,3.68B
82,AMPS,"Altus Power, Inc.",950.76M,-0.67%,1375916,155.16M
83,MSEX,Middlesex Water Company,923.70M,0.02%,182913,166.27M
84,OPAL,OPAL Fuels Inc.,846.36M,-1.43%,237390,235.82M
85,UTL,Unitil Corporation,836.29M,-1.95%,63025,557.10M
86,EDN,Empresa Distribuidora y Comercializadora Norte SA,820.84M,-5.29%,229690,1.17B
87,ARIS,"Aris Water Solutions, Inc.",766.94M,-0.53%,246675,392.12M
88,MNTK,"Montauk Renewables, Inc.",711.13M,4.30%,491461,174.90M
89,SMR,NuScale Power Corporation,543.57M,2.26%,8998041,21.69M
90,YORW,The York Water Company,519.04M,-1.55%,73771,71.03M
91,CWCO,Consolidated Water Co. Ltd.,445.50M,-1.24%,87827,155.39M
92,GNE,Genie Energy Ltd.,438.37M,0.63%,172522,405.18M
93,ARTNA,Artesian Resources Corporation,368.44M,-0.58%,56726,99.43M
94,GWRS,"Global Water Resources, Inc.",293.97M,-1.76%,42825,53.03M
95,NRGV,"Energy Vault Holdings, Inc.",279.45M,-11.58%,1028889,341.54M
96,PCYO,Pure Cycle Corporation,229.73M,-2.62%,54688,18.63M
97,ELLO,Ellomay Capital Ltd.,218.49M,-0.18%,340,52.91M
98,RGCO,"RGC Resources, Inc.",206.72M,-,23097,88.58M
99,CDZI,Cadiz Inc.,174.12M,0.38%,165619,1.88M
100,VIA,"Via Renewables, Inc.",78.80M,0.05%,8097,435.19M
101,ALCE,Alternus Energy Group Plc,38.35M,-1.89%,928480,44.51M
102,VGAS,"Verde Clean Fuels, Inc.",37.27M,-2.22%,7164,-
103,HTOO,Fusion Fuel Green PLC,25.82M,-7.93%,246965,-
104,ADN,"Advent Technologies Holdings, Inc.",13.63M,-9.21%,1021262,5.31M
105,CREG,Smart Powerr Corp.,10.11M,-0.39%,10824,-
106,WAVE,Eco Wave Power Global AB (publ),6.60M,-8.81%,8782,27.00K
107,BNRG,Brenmiller Energy Ltd,6.43M,3.66%,2040,580.00K
